"id","title","type","epic_id","epic_name","sprint","status","priority","story_points","role","want","so_that","description","acceptance_criteria","dependencies","technical_notes","invest","labels"
"US-02.05","Implement Postgres connection pool with tenant binding hook","Story","E2","Tenant and Identity Domain","S3","To Do","Medium","3","implementer","the Postgres connection pool to set the `app.current_tenant_id` session variable on every connection checkout based on the request context","the Row-Level Security policies enforce tenant isolation at the database layer","Create `internal/adapters/outbound/postgres/pool.go` with the pgx pool configuration including the AfterAcquire and BeforeRelease hooks per System Design section ten. Add the BYPASSRLS pool variant for the bootstrap CLI and the export job. Verify the dual-layer isolation by adding the test described in System Design section ten.","1. Given a request with tenant A in context, When a query against `members_view` is issued, Then only members belonging to tenant A are returned.
2. Given a request with no tenant in context, When a query against any tenant-scoped table is issued, Then the query returns zero rows and the application logs a warning identifying the missing tenant context.
3. Given the BYPASSRLS connection pool, When the same query is issued, Then rows from all tenants are returned, confirming that the bypass mechanism works for operator-level paths.","US-02.01, US-01.04","The pool configuration is specified in System Design section ten. The verification test is the contract test pattern from System Design section seven.","All criteria satisfied.","E2,S3"
"US-02.06","Enable RLS on initial tables and verify isolation","Story","E2","Tenant and Identity Domain","S4","To Do","Medium","2","implementer","Row-Level Security enabled and the tenant_isolation policy created on every tenant-scoped table introduced so far","the second isolation layer is in effect from the moment data is first written","Create the migration that enables RLS and creates the `tenant_isolation` policies per Database Schema section thirteen for the tables created so far (`tenants`, `users`, `sessions`). The policies for the remaining tables are created in their respective epics. Verify the policy with the test from US-02.05/AC-1 and AC-2.","1. Given the migration is applied, When the table is queried with `pg_policies`, Then the `tenant_isolation` policy is listed on each of `tenants`, `users`, and `sessions`.
2. Given a connection bound to tenant A, When `SELECT * FROM users WHERE tenant_id = '<tenant_b_uuid>'` is executed, Then zero rows are returned regardless of the explicit filter.
3. Given the migration is rolled back, When the policies are queried, Then no `tenant_isolation` policies remain on the affected tables.","US-02.05","The RLS policy definitions are in Database Schema section thirteen.","All criteria satisfied.

**Epic E2 total: 20 story points.**","E2,S4"
"US-03.01","Create events table and projection_progress table","Story","E3","Event Store and Projection Infrastructure","S4","To Do","Medium","2","implementer","the events and projection_progress tables created with their full schema","aggregates can persist their state changes and projectors can track their consumed position","Create the migrations for the `events` table (Database Schema section 6.1) and the `projection_progress` table (Database Schema section 6.2), including the `events_stream_position_seq` sequence and all indexes. Enable RLS on `events` and add the `tenant_isolation` policy.","1. Given the migrations are applied, When the tables are queried with `\d events` in psql, Then all columns, indexes, and constraints from the design are present.
2. Given the sequence exists, When `SELECT nextval('events_stream_position_seq')` is called twice, Then the second call returns a value one greater than the first.
3. Given an attempt to insert two events with the same `(aggregate_id, sequence)`, Then the second insert fails with a unique constraint violation.","US-02.06","The migration includes the `events_stream_position_idx`, `events_tenant_occurred_at_idx`, and `events_tenant_type_occurred_at_idx` indexes from Database Schema section 6.1.","All criteria satisfied.","E3,S4"
"US-03.02","Define EventStore port and domain event types","Story","E3","Event Store and Projection Infrastructure","S4","To Do","Medium","2","implementer","the `EventStore` port interface and the `Event` and `EventMetadata` domain types defined","use cases can be written against the port and the type system enforces correct usage","Create `internal/ports/outbound/event_store.go` with the `EventStore` interface (Append, Load, ReadAfterPosition, ReadByTenantAndTimeRange) per System Design section two. Create `internal/domain/events/event.go` with the `Event` and `EventMetadata` structs. Add the sentinel errors `ErrConcurrencyConflict` and `ErrEventNotFound`.","1. Given the port interface is defined, When a use case imports it, Then the import resolves without circular dependency.
2. Given the Event struct, When an event is serialized with `encoding/json`, Then the result is a stable JSON object with the field names from the design.
3. Given the sentinel errors, When `errors.Is(err, ErrConcurrencyConflict)` is called, Then it returns true for any wrapped instance of the sentinel.","US-01.01","The interface signatures are specified in System Design section two with code excerpts that serve as the canonical shape.","All criteria satisfied.","E3,S4"
"US-03.03","Implement PostgresEventStore adapter with concurrency control","Story","E3","Event Store and Projection Infrastructure","S4","To Do","Medium","5","implementer","the Postgres adapter implementation of the `EventStore` port with optimistic concurrency control on append","the event store enforces the sequence-monotonicity invariant at the database level","Implement `internal/adapters/outbound/postgres/event_store.go` with all four methods of the `EventStore` port. The `Append` method uses a single SQL statement with the unique constraint on `(aggregate_id, sequence)` to enforce concurrency control; a unique constraint violation is translated into `ErrConcurrencyConflict`. The `Load`, `ReadAfterPosition`, and `ReadByTenantAndTimeRange` methods use sqlc-generated queries.","1. Given an empty events table, When `Append` is called with two events for the same aggregate, Then both events are persisted with sequences 1 and 2.
2. Given an event at sequence 1 exists, When `Append` is called with `expectedSequence = 0` (stale read), Then the call returns `ErrConcurrencyConflict`.
3. Given fifty events for an aggregate, When `Load` is called for that aggregate, Then all fifty events are returned in sequence order.
4. Given the contract test suite, When the in-memory and Postgres adapters are tested against the same suite, Then both pass all tests.","US-03.01, US-03.02","The implementation pattern is specified in System Design section two. The sqlc queries are in `internal/adapters/outbound/postgres/queries/events.sql`.","All criteria satisfied.","E3,S4"
"US-03.04","Integrate River job queue with trace context propagation","Story","E3","Event Store and Projection Infrastructure","S5","To Do","Medium","5","implementer","the River job queue integrated with the application","background jobs (projectors, webhook delivery, exports, cleanup) can be enqueued and processed","Add the River dependency, create the worker-mode binary subcommand, define the `JobEnqueuer` port and its River-backed adapter, implement trace context serialization into job arguments and deserialization on worker pickup, and wire the worker pool startup into the application lifecycle.","1. Given a job is enqueued within a transaction, When the transaction commits, Then the job appears in the River queue and is processed by a worker.
2. Given the transaction is rolled back, When the worker pool is inspected, Then the job is not present (transactional outbox semantics).
3. Given a job whose arguments include a trace context, When the worker processes the job, Then the worker's span is a child of the originating span as verified in Tempo.","US-03.01, US-01.06","The River integration pattern is specified in System Design section six. Trace context propagation is specified in the same section.","All criteria satisfied.","E3,S5"
"US-03.05","Implement projection framework with advisory-lock coordination","Story","E3","Event Store and Projection Infrastructure","S5","To Do","Medium","5","implementer","a projection framework that runs projector jobs as singletons coordinated by advisory locks","read models are materialized exactly once per event regardless of how many worker instances are running","Create `internal/application/projector/projector.go` with the projector job kind, the per-projector batch processing loop, the advisory-lock acquisition keyed on `projector.<name>`, and the watermark update within the same transaction as the read model updates. Add the projection-lag metric `opengate_projection_lag_seconds` per System Design section three.","1. Given two worker instances are running with the same projector job kind, When the projector job is scheduled, Then exactly one worker processes events at any moment, verified by the advisory lock holder.
2. Given the projector processes a batch and crashes before commit, When the next iteration runs, Then the same batch is re-processed (the watermark was not advanced).
3. Given the projector has processed events up to position P, When the projection-lag metric is queried, Then the metric value equals `now() - last_event_at` for the projector.","US-03.04, US-02.05","The advisory-lock pattern is specified in System Design section five. The projector job structure is in System Design section six.","All criteria satisfied.","E3,S5"
"US-03.06","Implement three idempotency cache tables and middleware","Story","E3","Event Store and Projection Infrastructure","S5","To Do","Medium","5","API consumer (dashboard or reader)","idempotency-key support on every mutating endpoint","I can safely retry requests without producing duplicate side effects","Create the three idempotency cache tables (`command_idempotency_keys`, `decision_idempotency_keys`, `reconciliation_idempotency_keys`) per Database Schema section seven. Implement the idempotency middleware for command-level and decision-level keys per System Design section four. Add the cleanup River job that runs every five minutes.","1. Given an `Idempotency-Key` header is present, When the same request is retried with the same key and same body, Then the cached response is returned and the handler is not re-invoked.
2. Given an `Idempotency-Key` header is present with the same key but a different body, When the request is processed, Then the response is 409 Conflict with a Problem Details body.
3. Given an idempotency key older than ten minutes, When the cleanup job runs, Then the key is deleted from the table.","US-03.05","The three idempotency variants are specified in System Design section four. The cleanup job kind is `cleanup.idempotency_keys`.","All criteria satisfied.

**Epic E3 total: 24 story points.**","E3,S5"
"US-04.01","Implement member aggregate, events, and command handlers","Story","E4","Member and Credential Domain","S6","To Do","Medium","5","administrator","to create, update, and transition the status of members in my tenant","I can manage who is enrolled at my gym","Create the member aggregate per System Design section twelve, define the `member.created.v1`, `member.identity_updated.v1`, and `member.status_transitioned.v1` event types, implement the three command handlers, and add the synchronous projection to the `members_view` read model within the command transaction. Create the `members_view` table migration per Database Schema section 8.1.","1. Given an authenticated owner session, When POST `/api/v1/tenants/{t}/members` is called with valid payload, Then a member.created.v1 event is appended, a members_view row is inserted, and the response is 201 Created.
2. Given an existing member, When PATCH `/api/v1/tenants/{t}/members/{m}` is called with a name change, Then a member.identity_updated.v1 event is appended and the members_view row is updated.
3. Given an active member, When POST `/api/v1/tenants/{t}/members/{m}/transition` is called with target status `suspended`, Then a member.status_transitioned.v1 event is appended and the read model reflects the new status.
4. Given an expired member, When the transition endpoint is called with target status `suspended`, Then the response is 422 Unprocessable Entity (invalid state transition).","US-03.03, US-02.06","Member aggregate invariants are in System Design section twelve. The members_view synchronous projection is specified in System Design section three.","All criteria satisfied.","E4,S6"
"US-04.02","Implement member list and detail queries with search","Story","E4","Member and Credential Domain","S6","To Do","Medium","3","administrator","to list, search, and view members in my tenant","I can find specific members and review their details from the dashboard","Implement the query use cases for member list (paginated, filterable by status), member search (substring match on name and email via trigram index), and member detail (full member record plus associated credentials and recent access events count). Add the `pg_trgm` extension migration and the trigram indexes per Database Schema section 8.1.","1. Given fifty members exist, When GET `/api/v1/tenants/{t}/members?limit=20` is called, Then the response contains twenty members and a cursor for the next page.
2. Given a member named ""Marko Petrović"", When GET `/api/v1/tenants/{t}/members?q=marko` is called, Then the response includes the member regardless of case.
3. Given a member ID, When GET `/api/v1/tenants/{t}/members/{m}` is called, Then the response includes the member's full record, the count of their credentials, and the count of their access events in the last thirty days.","US-04.01","The trigram search pattern is specified in System Design section twelve. Pagination uses keyset cursors per the convention from Database Schema section ten.","All criteria satisfied.","E4,S6"
"US-04.03","Implement credentials_view and credential aggregate","Story","E4","Member and Credential Domain","S6","To Do","Medium","5","administrator","to issue and revoke credentials for members","I can grant physical access to enrolled members and remove it when needed","Create the `credentials_view` table migration per Database Schema section 8.2, implement the credential aggregate with events `credential.issued.v1`, `credential.activated.v1`, `credential.revoked.v1`, and `credential.expired.v1`, and implement the issuance and revocation command handlers. The issuance handler supports both administrator-provided identifier and backend-generated identifier modes.","1. Given an active member, When POST `/api/v1/tenants/{t}/members/{m}/credentials` is called with an explicit identifier, Then a credential.issued.v1 event is appended and the credentials_view row is inserted with status `active`.
2. Given an active credential, When POST `/api/v1/tenants/{t}/credentials/{c}/revoke` is called, Then a credential.revoked.v1 event is appended, the credentials_view status is `revoked`, and the revoked_at timestamp is populated within the same transaction.
3. Given a revoked credential, When the revoke endpoint is called again, Then the response is 409 Conflict (idempotent operation, but the second call's semantics are not a fresh revocation).","US-04.01","The credentials_view is synchronously projected per System Design section three. The aggregate invariants include the rule that a revoked credential cannot be reactivated.","All criteria satisfied.","E4,S6"
"US-04.04","Implement backend-generated credential identifier with advisory lock","Story","E4","Member and Credential Domain","S6","To Do","Medium","3","administrator performing bulk enrollment","the backend to generate credential identifiers for me when I do not have physical cards to scan","I can issue many credentials without scanning each one","Extend the credential issuance command to support backend-generated identifiers via the advisory-lock-protected critical section keyed on `credential.generate:<tenant_id>` per System Design section thirteen. The generator finds the highest existing credential identifier suffix in the tenant, increments it, and produces a new identifier.","1. Given a tenant with one hundred existing credentials, When the generation endpoint is called, Then a new credential is issued with an identifier whose suffix is one greater than the highest existing.
2. Given two concurrent requests for backend-generated credentials, When both are processed, Then they receive different identifiers (the advisory lock serializes the critical section).
3. Given a tenant with no credentials yet, When the generation endpoint is called, Then the new credential's identifier has suffix 1.","US-04.03","The advisory lock pattern is in System Design section five. The integer wrapping behavior for the generated identifier prefix follows the System Design specification.","All criteria satisfied.

**Epic E4 total: 16 story points.**","E4,S6"
"US-05.01","Implement door aggregate and doors_view","Story","E5","Access Policy and Door Domain","S7","To Do","Medium","3","administrator","to create and configure doors in my tenant","I can model the physical entry points of my gym","Create the `doors_view` table migration per Database Schema section 9.2, implement the door aggregate with events `door.created.v1`, `door.config_updated.v1`, and `door.status_changed.v1`, and implement the door management command handlers.","1. Given an authenticated owner, When POST `/api/v1/tenants/{t}/doors` is called with valid payload, Then a door.created.v1 event is appended and the doors_view row is inserted with status `offline`.
2. Given an existing door, When PATCH `/api/v1/tenants/{t}/doors/{d}` is called with a name change, Then a door.config_updated.v1 event is appended and the read model is updated.
3. Given a duplicate door name within the tenant, When the create endpoint is called, Then the response is 422 Unprocessable Entity.","US-04.01","The doors_view is synchronously projected because the access decision uses it. The door status transitions are driven by heartbeat events handled in E7.","All criteria satisfied.","E5,S7"
"US-05.02","Implement policy aggregate with decomposed read model","Story","E5","Access Policy and Door Domain","S7","To Do","Medium","5","administrator","to create and configure access policies with door coverage and time windows","I can define when members are allowed to access specific doors","Create the migrations for `policies_view`, `policy_doors_view`, `policy_time_windows_view`, and `policy_assignments_view` per Database Schema section 9.1. Implement the policy aggregate with events for policy creation, door-coverage modification, time-window modification, member assignment, and member unassignment. Implement the policy management command handlers.","1. Given an authenticated owner, When POST `/api/v1/tenants/{t}/policies` is called with a name, door list, and time windows, Then the events are appended and all four read model tables are populated within the transaction.
2. Given an existing policy, When PUT `/api/v1/tenants/{t}/policies/{p}/assignments` is called with a member list, Then the policy_assignments_view is updated to match.
3. Given a time window with `start_time` ≥ `end_time`, When the create endpoint is called, Then the response is 422 Unprocessable Entity (the constraint forbids midnight-crossing windows in this version).","US-05.01, US-04.01","The policy decomposition is specified in Database Schema section 9.1. The weekdays bitmask convention is specified in the same section.","All criteria satisfied.","E5,S7"
"US-05.03","Implement DecisionEvaluator domain service","Story","E5","Access Policy and Door Domain","S7","To Do","Medium","3","implementer","a pure-function `DecisionEvaluator` that takes member, credential, policies, door, and current time and returns a decision with reason code","the access decision logic is isolated and testable","Create `internal/domain/access/evaluator.go` with the `DecisionEvaluator` struct and its `Evaluate` method. The method implements the algorithm specified in System Design section fourteen: check credential validity, check member status, evaluate each assigned policy's door coverage and time windows, and return grant if any policy covers the door at the current time-of-day in the tenant's timezone.","1. Given a member with an active credential and a policy covering the door at the current time, When `Evaluate` is called, Then the result is `{Decision: grant, ReasonCode: granted}`.
2. Given a revoked credential, When `Evaluate` is called, Then the result is `{Decision: deny, ReasonCode: deny_revoked_credential}` regardless of policy state.
3. Given a policy with a time window 09:00-17:00 on weekdays and the current time is Saturday 12:00, When `Evaluate` is called, Then the result is `{Decision: deny, ReasonCode: deny_outside_policy_window}`.
4. Given a member with no policies covering the door, When `Evaluate` is called, Then the result is `{Decision: deny, ReasonCode: deny_no_policy_covers_door}`.","US-05.02","The algorithm is in System Design section fourteen. The evaluator is a pure function with no I/O, making it trivially testable with table-driven tests.","All criteria satisfied.","E5,S7"
"US-05.04","Implement effective-permissions preview endpoint","Story","E5","Access Policy and Door Domain","S7","To Do","Medium","2","administrator","to see at a glance what doors a specific member can access right now","I can verify their access configuration without making them attempt entry","Implement GET `/api/v1/tenants/{t}/members/{m}/effective-permissions` that returns the list of (door, allowed-now) tuples for the member. The endpoint uses the `DecisionEvaluator` against the member's assigned policies and the current time.","1. Given a member with a policy covering all doors at the current time, When the endpoint is called, Then the response lists every door with `allowed_now: true`.
2. Given a member with no assigned policies, When the endpoint is called, Then the response lists every door with `allowed_now: false`.
3. Given a member with mixed policy coverage, When the endpoint is called, Then the response correctly identifies which doors are currently allowed.","US-05.03","The endpoint is a read-only query that does not write any events; it is the dashboard's debugging aid for administrators.","All criteria satisfied.

**Epic E5 total: 13 story points.**","E5,S7"
"US-06.01","Implement reader API key authentication middleware","Story","E6","Access Authorization Decision Path","S8","To Do","Medium","3","reader client","to authenticate to the OpenGate API using my provisioned API key","the backend can attribute my requests to the correct reader and enforce its scope","Implement the reader authentication middleware that extracts the Bearer token from the Authorization header, looks up the corresponding reader by API key hash with a five-minute in-process cache (per System Design section nine), and populates the request context with the reader's tenant ID and reader ID.","1. Given a valid API key, When a reader endpoint is called, Then the request proceeds with the correct reader context populated.
2. Given an invalid API key, When the endpoint is called, Then the response is 401 Unauthorized.
3. Given an API key was just rotated, When the rotation overlap window is active, Then the endpoint accepts either the old or the new key.","US-02.02","The API key verification cache is specified in System Design section nine. The rotation overlap mechanism uses the `rotation_key_hash` column from Database Schema section 5.4.","All criteria satisfied.","E6,S8"
"US-06.02","Implement readers table and reader provisioning","Story","E6","Access Authorization Decision Path","S8","To Do","Medium","3","administrator","to provision a new reader for a door","I can later connect a physical or simulated reader and have it authenticated against the backend","Create the `readers` table migration per Database Schema section 5.4 and implement the reader provisioning endpoint POST `/api/v1/tenants/{t}/readers`. The endpoint generates a random API key, hashes it with Argon2id, persists the reader record, and returns the plaintext API key in the response (only once; not retrievable later). Provisioning is an administrator action; the reader does not self-provision.","1. Given an authenticated owner, When the provisioning endpoint is called with a valid door reference, Then a reader row is created and the plaintext API key is returned in the response.
2. Given a non-existent door reference, When the provisioning endpoint is called, Then the response is 422 Unprocessable Entity.
3. Given the reader is provisioned, When GET on the same endpoint is called, Then the response does not include the plaintext API key (only the hash existence is acknowledged).","US-05.01","The reader provisioning pattern is implicit in System Design section nine. The plaintext key return is the standard pattern for token-issuing endpoints.","All criteria satisfied.","E6,S8"
